HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
St Mirren,Dundee United,2,1,H,1,0,H,15,10,2,3,19,5,6,6,1,1,0,0
Dundee United,Motherwell,0,1,A,0,1,A,10,9,3,2,13,14,10,5,0,1,1,0
Hibernian,St Mirren,3,0,H,1,0,H,16,11,4,3,12,16,6,6,2,3,0,0
Rangers,Aberdeen,4,1,H,2,1,H,36,5,13,1,9,12,13,4,0,3,0,0
St Johnstone,Kilmarnock,1,0,H,1,0,H,8,7,2,2,15,10,3,6,5,1,0,0
Livingston,Celtic,0,3,A,0,1,A,4,16,2,6,15,15,0,4,2,3,0,0
Ross County,Hearts,1,2,A,1,2,A,15,12,7,3,11,4,6,1,3,2,0,0
Aberdeen,Hibernian,4,1,H,1,0,H,7,17,6,6,10,7,5,4,2,2,0,0
Kilmarnock,Livingston,2,3,A,2,1,H,13,10,4,4,13,12,5,4,3,3,0,0
Celtic,Dundee United,4,2,H,2,1,H,24,6,12,3,9,9,11,2,3,2,0,0
Ross County,St Mirren,3,2,H,1,2,A,10,11,4,4,9,13,7,5,2,3,0,0
St Johnstone,Rangers,2,1,H,1,0,H,11,29,3,7,7,13,0,20,2,0,0,0
Hearts,Motherwell,3,2,H,1,0,H,15,18,7,5,8,15,6,11,2,3,1,0
Hibernian,Ross County,0,2,A,0,1,A,21,6,4,3,10,19,4,3,1,3,0,0
Livingston,Aberdeen,2,1,H,2,0,H,8,24,3,10,11,9,7,8,4,3,0,0
Dundee United,Kilmarnock,4,0,H,3,0,H,7,16,6,0,13,7,3,4,0,1,0,0
Motherwell,Celtic,1,2,A,0,1,A,7,16,2,3,7,11,5,10,2,1,0,0
Rangers,Hearts,1,0,H,0,0,D,17,7,6,0,9,7,7,5,3,1,0,0
St Mirren,St Johnstone,2,2,D,1,1,D,11,8,4,2,9,7,6,3,4,3,0,1
