HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
OFI Crete,PAOK,1,1,D,0,1,A,11,15,4,5,13,15,2,13,2,3,0,0
Aris,Olympiakos,2,1,H,0,1,A,12,6,3,2,8,17,7,2,3,0,0,0
Volos NFC,Ionikos,2,0,H,1,0,H,10,8,3,3,17,17,2,3,2,3,0,0
Lamia,Levadeiakos,1,0,H,0,0,D,15,8,3,2,18,15,12,3,4,3,0,0
Asteras Tripolis,OFI Crete,2,0,H,2,0,H,9,11,4,3,7,15,3,3,1,1,0,0
Olympiakos,Atromitos,2,0,H,1,0,H,15,5,7,2,21,16,3,4,1,4,0,0
Volos NFC,Aris,2,0,H,2,0,H,9,16,4,4,18,15,4,8,5,3,1,0
PAOK,Panathinaikos,1,2,A,1,0,H,12,7,3,5,14,17,4,4,3,2,0,0
Giannina,Panetolikos,1,4,A,1,2,A,18,12,3,5,19,17,6,2,3,3,0,0
AEK,Ionikos,4,1,H,2,0,H,27,5,8,2,12,13,12,0,0,1,0,0
Panetolikos,Volos NFC,2,3,A,2,2,D,7,15,5,7,12,13,2,8,1,2,1,0
Ionikos,Lamia,1,1,D,0,1,A,18,6,8,3,10,17,7,2,4,5,0,0
OFI Crete,Olympiakos,1,2,A,1,0,H,9,14,3,6,15,10,3,3,3,1,0,0
Levadeiakos,PAOK,1,1,D,0,0,D,10,13,3,4,15,15,3,9,2,1,0,1
Panathinaikos,Asteras Tripolis,1,0,H,0,0,D,19,4,6,2,14,16,4,3,1,5,0,1
Aris,AEK,0,2,A,0,1,A,10,17,1,7,19,24,8,3,1,3,0,0
Atromitos,Giannina,2,1,H,0,0,D,13,8,4,2,14,10,6,4,4,1,0,0
Volos NFC,Levadeiakos,2,1,H,0,0,D,18,9,5,8,13,14,11,10,3,0,0,0
Aris,Ionikos,2,1,H,0,1,A,15,9,4,6,10,18,6,3,1,2,0,0
AEK,Atromitos,1,0,H,0,0,D,26,8,13,4,15,9,14,2,2,4,0,0
Giannina,OFI Crete,2,2,D,1,0,H,11,12,4,3,16,16,4,1,1,0,0,0
Lamia,Panathinaikos,0,2,A,0,1,A,4,9,0,4,11,13,2,7,2,1,0,0
Asteras Tripolis,Panetolikos,0,0,D,0,0,D,8,3,0,2,18,11,1,2,3,3,0,0
Olympiakos,PAOK,1,2,A,1,1,D,17,7,3,1,13,14,5,4,0,5,0,0
Atromitos,Volos NFC,0,2,A,0,1,A,13,8,5,4,8,15,6,4,2,2,0,0
Panetolikos,Olympiakos,0,2,A,0,0,D,5,16,0,3,8,8,2,5,0,0,0,0
Ionikos,Giannina,2,2,D,2,0,H,11,12,4,6,17,19,4,2,1,2,0,0
