HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Chaves,Boavista,2,1,H,1,1,D,7,14,3,3,17,16,4,3,6,1,1,0
Portimonense,Guimaraes,1,1,D,0,1,A,10,10,6,2,10,17,9,6,3,5,0,0
Porto,Estrela,2,0,H,1,0,H,16,8,6,2,12,13,8,6,0,2,0,0
Casa Pia,Arouca,1,0,H,0,0,D,10,14,2,4,5,12,2,6,0,2,0,0
Benfica,Vizela,6,1,H,5,0,H,14,8,8,4,14,9,6,1,0,4,0,0
Estoril,Gil Vicente,1,3,A,0,0,D,8,11,4,7,15,15,2,4,2,3,1,0
Sp Braga,Farense,2,1,H,0,0,D,17,5,8,2,19,15,6,1,5,3,0,0
Moreirense,Sp Lisbon,0,2,A,0,2,A,4,16,0,7,12,13,5,4,0,1,0,0
Arouca,Famalicao,3,2,H,2,1,H,14,11,4,8,20,14,3,4,2,5,0,1
Farense,Moreirense,0,1,A,0,1,A,6,11,1,2,14,14,5,5,1,0,1,0
Estrela,Chaves,1,1,D,1,1,D,10,9,4,2,13,18,7,6,2,2,0,0
Guimaraes,Casa Pia,0,2,A,0,2,A,25,9,5,5,12,13,8,2,1,3,0,0
Vizela,Estoril,3,3,D,2,0,H,12,18,7,4,9,14,4,7,2,3,0,0
Benfica,Portimonense,4,0,H,0,0,D,19,10,13,2,13,6,8,1,0,1,0,0
Gil Vicente,Porto,1,1,D,0,0,D,7,14,1,5,16,14,2,4,3,3,0,0
Rio Ave,Sp Lisbon,3,3,D,2,2,D,8,13,3,6,17,10,2,5,6,3,1,0
Boavista,Sp Braga,0,4,A,0,2,A,8,11,3,5,12,14,1,3,1,3,0,0
Chaves,Arouca,1,5,A,1,2,A,11,7,5,5,15,15,4,2,1,2,0,0
Moreirense,Rio Ave,0,0,D,0,0,D,14,4,5,1,13,10,6,2,1,1,0,0
Estoril,Guimaraes,1,3,A,0,3,A,14,9,4,4,12,20,9,4,1,5,0,0
Sp Braga,Estrela,3,0,H,0,0,D,15,7,8,1,11,13,6,4,2,1,0,0
Casa Pia,Gil Vicente,0,0,D,0,0,D,11,9,3,2,12,7,2,4,1,2,0,0
Portimonense,Vizela,0,0,D,0,0,D,11,13,4,3,18,10,1,8,3,1,1,0
Sp Lisbon,Farense,3,2,H,2,1,H,17,8,5,5,7,11,12,1,1,3,0,0
Porto,Benfica,5,0,H,2,0,H,16,3,8,1,12,16,6,2,1,3,0,1
Famalicao,Boavista,1,1,D,1,0,H,7,5,1,3,14,19,9,5,2,2,0,0
Portimonense,Porto,0,3,A,0,1,A,7,16,2,6,16,11,1,13,2,0,0,0
Estrela,Casa Pia,3,1,H,0,0,D,14,6,6,3,16,9,8,4,0,2,0,0
Vizela,Farense,2,1,H,0,1,A,15,8,6,4,17,12,10,3,1,3,0,0
Boavista,Moreirense,1,0,H,0,0,D,9,8,3,3,13,19,4,4,4,2,0,0
Rio Ave,Sp Braga,0,0,D,0,0,D,8,10,5,4,13,10,6,5,1,4,0,0
Guimaraes,Famalicao,1,0,H,1,0,H,12,13,6,0,12,18,10,4,1,3,0,0
Arouca,Sp Lisbon,0,3,A,0,1,A,10,10,2,6,13,11,2,0,2,0,0,0
Benfica,Estoril,3,1,H,2,1,H,13,10,6,5,10,7,6,4,0,0,0,0
Gil Vicente,Chaves,0,0,D,0,0,D,20,5,6,0,13,8,12,1,4,2,1,0
Estoril,Portimonense,1,0,H,0,0,D,9,15,3,2,15,10,2,7,1,2,0,0
Famalicao,Estrela,0,0,D,0,0,D,12,9,3,2,15,19,4,7,1,4,0,0
Farense,Rio Ave,1,1,D,1,0,H,14,13,7,3,17,15,5,2,2,1,0,0
Sp Braga,Gil Vicente,2,1,H,1,0,H,19,10,5,4,12,9,8,2,0,3,0,0
Porto,Vizela,4,1,H,0,1,A,36,3,9,0,19,12,12,3,0,3,0,1
Chaves,Guimaraes,1,2,A,1,1,D,6,16,2,5,15,14,3,10,3,3,0,0
Moreirense,Arouca,1,0,H,1,0,H,12,9,3,1,11,9,2,3,1,1,0,0
Casa Pia,Benfica,0,1,A,0,0,D,6,19,3,6,8,5,4,13,0,2,0,0
Sp Lisbon,Boavista,6,1,H,1,1,D,22,3,12,2,9,14,8,1,2,3,0,0
Gil Vicente,Famalicao,1,2,A,0,1,A,10,12,3,3,8,18,2,5,1,3,0,0
Benfica,Chaves,1,0,H,0,0,D,19,7,7,0,12,12,11,2,1,8,0,0
Estrela,Sp Lisbon,1,2,A,1,2,A,6,21,3,6,20,8,3,7,3,1,0,0
Arouca,Farense,2,1,H,1,0,H,28,10,17,4,15,13,13,4,4,3,0,1
Guimaraes,Moreirense,1,0,H,0,0,D,12,9,4,2,16,13,7,2,5,2,1,0
Boavista,Rio Ave,0,0,D,0,0,D,9,8,2,1,21,10,2,5,3,4,0,1
Estoril,Porto,1,0,H,0,0,D,5,13,2,2,21,14,1,10,5,8,1,3
Vizela,Casa Pia,0,4,A,0,1,A,13,11,3,9,8,18,6,3,2,6,0,1
Portimonense,Sp Braga,3,5,A,1,2,A,13,15,5,9,11,6,4,6,0,1,0,0
Farense,Boavista,2,0,H,2,0,H,15,17,8,7,18,11,5,12,3,3,0,0
Famalicao,Vizela,3,2,H,2,0,H,17,8,9,4,16,19,1,5,6,1,0,0
Rio Ave,Gil Vicente,3,0,H,2,0,H,13,5,7,3,18,14,1,8,2,4,0,1
Sp Braga,Arouca,0,3,A,0,2,A,17,11,10,6,11,15,10,9,1,3,0,0
Sp Lisbon,Benfica,2,1,H,1,1,D,13,15,4,3,12,9,7,13,3,6,0,1
Chaves,Portimonense,2,3,A,1,0,H,9,11,3,4,15,15,4,4,3,2,0,0
Moreirense,Estrela,2,2,D,2,0,H,7,10,3,4,14,14,2,6,3,3,0,1
Porto,Guimaraes,1,2,A,1,2,A,12,4,6,2,6,23,6,1,2,6,1,0
Casa Pia,Estoril,0,0,D,0,0,D,12,11,4,2,9,11,2,6,0,2,0,0
Gil Vicente,Sp Lisbon,0,4,A,0,4,A,5,13,1,6,11,14,6,4,2,0,0,0
Guimaraes,Farense,1,1,D,0,1,A,24,10,6,6,6,12,8,1,2,4,0,0
Porto,Famalicao,2,2,D,1,2,A,20,8,8,3,19,16,10,0,4,3,1,0
Estoril,Sp Braga,0,1,A,0,0,D,4,12,0,5,8,12,2,3,0,1,0,0
Estrela,Rio Ave,2,2,D,1,1,D,15,6,5,4,12,12,10,1,2,1,0,0
Arouca,Boavista,2,1,H,2,0,H,14,8,5,5,17,9,1,4,3,4,0,1
Portimonense,Casa Pia,2,2,D,2,1,H,11,11,3,4,10,14,5,8,2,4,0,1
Benfica,Moreirense,3,0,H,2,0,H,19,8,6,0,11,11,6,2,2,1,0,0
Vizela,Chaves,0,1,A,0,1,A,12,7,4,2,17,13,10,5,3,2,0,0
Famalicao,Sp Lisbon,0,1,A,0,1,A,5,10,0,1,10,15,4,6,2,4,0,0
Rio Ave,Arouca,1,1,D,1,0,H,6,17,3,5,15,13,4,6,3,3,0,0
Moreirense,Gil Vicente,0,1,A,0,1,A,15,5,4,3,10,8,8,1,0,0,0,0
Boavista,Estrela,1,1,D,0,0,D,15,11,5,3,16,7,6,5,2,0,0,0
Sp Braga,Vizela,2,1,H,0,0,D,15,5,5,2,15,16,4,4,1,3,0,0
Chaves,Estoril,2,2,D,1,0,H,14,10,7,6,11,12,7,5,1,1,0,2
Famalicao,Portimonense,2,2,D,0,1,A,13,14,3,7,11,18,9,6,2,4,1,0
Casa Pia,Porto,1,2,A,1,1,D,11,16,4,5,18,15,8,4,3,1,0,0
Sp Lisbon,Guimaraes,3,0,H,2,0,H,10,6,4,1,10,10,5,3,1,1,0,0
Farense,Benfica,1,3,A,1,2,A,12,20,3,9,12,10,3,7,1,2,0,0
Benfica,Arouca,4,0,H,3,0,H,20,3,6,2,7,6,6,1,3,1,0,1
Rio Ave,Vizela,0,1,A,0,0,D,7,12,0,7,19,16,6,7,7,4,0,0
Estoril,Famalicao,2,0,H,2,0,H,10,15,5,5,13,11,1,2,4,1,0,0
Porto,Maritimo,5,1,H,3,0,H,22,9,7,3,13,11,4,4,3,2,0,0
Santa Clara,Casa Pia,0,0,D,0,0,D,7,11,3,3,15,12,7,6,1,3,1,0
Sp Braga,Sp Lisbon,3,3,D,2,2,D,15,11,7,4,14,17,3,3,2,2,0,0
Chaves,Guimaraes,0,1,A,0,1,A,14,15,2,6,10,20,2,5,2,9,0,2
Portimonense,Boavista,0,1,A,0,1,A,18,10,8,5,13,11,7,1,3,1,0,0
Gil Vicente,Pacos Ferreira,1,0,H,0,0,D,16,12,7,5,17,19,8,6,1,6,0,0
Famalicao,Sp Braga,0,3,A,0,2,A,11,24,5,9,11,14,7,7,3,1,0,0
Casa Pia,Benfica,0,1,A,0,0,D,8,14,2,4,10,9,4,9,6,4,0,1
Sp Lisbon,Rio Ave,3,0,H,1,0,H,20,3,6,1,15,6,7,1,1,2,0,0
Boavista,Santa Clara,2,1,H,0,1,A,16,3,5,1,13,8,8,6,3,7,0,2
Vizela,Porto,0,1,A,0,0,D,4,13,1,4,18,13,1,10,6,2,0,0
